,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.993816759256594,0.987671750979279,0.7621701128344485,0.21499518136668005,0.5154553699110387,0.359644310768857,0.5343537450284805
1,0,60,0.8684807498259393,0.7542588128182257,0.6874845918087711,0.3235176706303524,0.6144450158428513,0.43337181064104957,0.5860650139127117
2,1,55,0.8956630807450091,0.8022123542096407,0.7075314437384432,0.31917289939478144,0.5771539850489652,0.4082474825713216,0.5684715176192854
3,1,60,0.9768880009156402,0.954310166332956,0.7678252544538722,0.17342962095664083,0.40492454561318586,0.2751205511364303,0.42031959659345175
4,2,55,0.9320204593119301,0.8686621365760212,0.7210744721001168,0.21679202231066752,0.5034915142333379,0.35311954317289396,0.5271338284483539
5,2,60,1.0373233095695253,1.0760396485762733,0.8249931243615851,0.23743700639621124,0.5305548734172788,0.36451089612313214,0.5285443684178691
6,3,55,0.9008767521594058,0.8115789225812795,0.7142546753770328,0.2894482432608717,0.5635336887061245,0.3870184594488506,0.5440925372792812
7,3,60,0.9903850917951323,0.9808626300500527,0.7739322860998729,0.06058265378221661,0.29925233752154395,0.20687660250138382,0.30262316030594594
8,4,55,0.9377871191948727,0.8794446809278184,0.7420669190781367,0.2628594701706798,0.5581955812764995,0.3980301496868283,0.5711236826685471
9,4,60,0.9048720712428739,0.8187934653153688,0.714258506428598,0.2066182826040993,0.5057701313879938,0.3566897871513066,0.5368225889464963
