,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.9801624849915046,0.9607184969847216,0.7498210018637343,0.14384197369682417,0.4599605380444572,0.3188325581490969,0.4638684558774502
1,0,60,0.8703444183230561,0.7574994065060989,0.687456881564815,0.27504536700255533,0.5874149774596811,0.4128346140423794,0.5627963194964419
2,1,55,0.8717682332416332,0.7599798524892386,0.6881123452540482,0.26319270922270144,0.5342137554521845,0.37422226960233884,0.5217634532315288
3,1,60,1.015839560267392,1.0319300122042483,0.7994886154911285,0.12835792662095924,0.3717119783542163,0.2517146075991237,0.3864284656730058
4,2,55,0.9053695165691009,0.8196939615325676,0.7027450152227046,0.21160487653584537,0.4634878607028274,0.3252031438467949,0.5084338957459298
5,2,60,1.0269800588136155,1.0546880412008173,0.8178323480592502,0.22221643850327222,0.5138942222964631,0.3534992793471995,0.5034559440813667
6,3,55,0.9159731451106836,0.8390068025639575,0.7326129503695517,0.2696545918259121,0.5427672121825073,0.37410336876402384,0.5216895088037659
7,3,60,0.9578002031840352,0.9173812292193791,0.7466345094667811,0.04428177803878974,0.3177332731661286,0.21906848083628275,0.30178287017637484
8,4,55,0.9215648142887954,0.8492817069351419,0.729932178630313,0.2152721200835308,0.5047711155043094,0.3575134924653873,0.52537765044155
9,4,60,0.9396117899102957,0.8828703157384297,0.7487307401541304,0.12976916962342955,0.4957608605871021,0.3471342920943491,0.4970734429041619
