,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.70792122953367,0.501152467224463,0.5180502145757545,-1.0010029474475637,0.16508899107225655,0.11364592966436309,0.16692903017489963
1,0,60,0.892614792435283,0.7967611676742833,0.7317485614914802,-2.225205184585481,0.28549557069220677,0.18921327310203917,0.23128733568528906
2,1,55,0.8580040151793658,0.7361708900639132,0.6653573012964554,-2.855519762376172,0.3744722830272949,0.25937028603233964,0.29685375288363547
3,1,60,0.9874303017630651,0.9750186008398979,0.7736975120910853,-1.8094629671512803,0.11481355124779354,0.07441731996975964,0.07741464724686116
4,2,55,0.7491078893251111,0.5611626298491228,0.5650697090398331,-1.7996634442070123,0.10366421160124983,0.07080620669977265,0.05835513513138948
5,2,60,1.056176764636823,1.1155093581587068,0.8520435650367384,-2.0655829778571118,0.07715359883135507,0.05208126633874215,0.08680467043884635
6,3,55,0.8139485632312707,0.6625122635862499,0.6367226163329596,-1.9691287060473366,0.2157707829820527,0.1464845874435756,0.1735539881685912
7,3,60,0.9394886962746883,0.8826390104279136,0.7204502852292872,-2.7583741530155486,0.0440882236700652,0.03151656459345391,-0.022183458250972003
8,4,55,0.7870123793238425,0.6193884852089758,0.6156861527182124,-2.259162250568775,0.2745118601221992,0.18386836410342355,0.2833458984215178
9,4,60,0.7342978787616475,0.5391933747538552,0.5724681169312607,-1.7311220719478038,0.2540137394408026,0.17391226425025474,0.23930118622398547
