,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,1.0295844203336895,1.0600440785938592,0.7953286977230707,0.2834758505536923,0.6123882974370661,0.4251545953511545,0.6051721952019951
1,0,60,0.8636750522696139,0.7459345959129203,0.6875561456966941,0.3884532906226823,0.6666987154047053,0.47330440304370613,0.6263319200073336
2,1,55,0.9813370411069938,0.9630223882486296,0.7814741010578398,0.30601936733085433,0.5293728026108796,0.3831621449156498,0.5588359785106307
3,1,60,0.8946048333356037,0.8003178078274233,0.7050075306969091,0.20940504816103456,0.5005690572131432,0.34808033893187296,0.5079484702428072
4,2,55,0.9804892764533595,0.9613592212400324,0.7557722247966514,0.2138689846322066,0.578656175955544,0.4030016134790264,0.5611214918042755
5,2,60,1.0796455300736223,1.1656344706079529,0.8550409867312574,0.27073504084814703,0.5979880678076231,0.4174714814123112,0.6033996439543863
6,3,55,0.8644425213587963,0.747260872733153,0.671204733395628,0.3234773536161052,0.6198211526631083,0.42999552959701315,0.5915825243507076
7,3,60,1.079910016776531,1.1662056443342876,0.853632036790667,0.09131862269348312,0.29233380039507273,0.19543690689622736,0.3126227071092915
8,4,55,1.0297681551946538,1.0604224534530005,0.8148753490946317,0.42079240498568216,0.7528951598584855,0.5429709739186054,0.738469386392615
9,4,60,0.8441244285786345,0.7125460509232062,0.6570992780175169,0.322931667602672,0.5190550345590129,0.3705642492189816,0.6026976015338432
