,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.986403352581991,0.9729915739849916,0.7675195232846763,0.22666303525384401,0.4811985014899183,0.3318415708972322,0.4874041981658793
1,0,60,0.9498710965956146,0.9022551001477556,0.7460515731009045,0.1907822335505236,0.41988438954375634,0.29107502763810866,0.4395536527236696
2,1,55,0.9815860354622779,0.9635111450145523,0.7873334530708666,0.1822807317554166,0.460311488297669,0.3165244831643254,0.47635959711304054
3,1,60,0.9850867579630204,0.9703959207140943,0.7806567433419572,0.15949703534130855,0.37663528322088413,0.2571453328417273,0.40158435025364747
4,2,55,0.936316800383903,0.8766891506811495,0.7330970798073005,0.20955466129371114,0.457634739137453,0.31275850050340465,0.48549333840513686
5,2,60,1.0578639487635946,1.1190761340937052,0.8489557901230252,0.20693810119900868,0.46443117201509343,0.319565142083745,0.4570294091397301
6,3,55,0.965300995182453,0.9318060113002343,0.7782290936973617,0.18418729239095932,0.44051365510003504,0.30375493671389064,0.43601859545162747
7,3,60,0.9902557017806493,0.9806063549090862,0.7830273652828705,0.06082810029577801,0.289183019086617,0.19765920854896762,0.30762603209263795
8,4,55,0.994989876571574,0.9900048544799162,0.7974791597040115,0.17018919007502475,0.42670165891576506,0.2972149196587809,0.4420049879703285
9,4,60,0.975145603874354,0.9509089487554786,0.7783204814458485,0.07860308269537508,0.3152966175498601,0.21413683621376628,0.3572416613282019
