,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.9768854004480882,0.9543050856086217,0.764394403943781,0.13591847928144618,0.36228924401645,0.2442283200827908,0.3739429545723413
1,0,60,1.0391820034803951,1.079899236357528,0.8165395134009285,-0.03699912751447454,0.13180651165166418,0.08856327487223381,0.14217779623272375
2,1,55,0.9757957986014429,0.9521774405682277,0.781130925192553,0.0715614827908867,0.3727646761419609,0.2508765278621433,0.37150934144611736
3,1,60,0.8690106459018174,0.755179502690694,0.67655905248016,0.142948849876687,0.3897760793047542,0.2701624721551567,0.3876902032258353
4,2,55,0.8852248961476837,0.7836231167596774,0.6925491696033962,0.07930007339666778,0.3041351964886419,0.2060634526333027,0.3248600292360071
5,2,60,1.011196143807267,1.0225176412506871,0.8099534755692741,0.1047389312746867,0.3785828726090083,0.2567949614129075,0.3659057203425967
6,3,55,0.9679377264087525,0.9369034422053452,0.7690579127253222,0.1550192505233805,0.4035583388546752,0.27525592312537994,0.39706322344199685
7,3,60,0.9144412868641567,0.8362028671217749,0.7203323980246609,0.02047766081204072,0.28079129511034095,0.1895082481811927,0.29390786319625267
8,4,55,0.9625882562208155,0.9265761510142303,0.7559879086668845,0.00621232900850166,0.2579643482556038,0.17915927212063204,0.26182209163986286
9,4,60,1.0001870252277407,1.0003740854339174,0.7964971170694279,-0.20408415374018052,0.18059397242772993,0.12228261263012469,0.1750737858819108
