,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.6755137517849382,0.6551724137931034,0.6440677966101694,0.6495726495726496,0.35147512454781843
1,0,60,0.7380878254165926,0.7086956521739131,0.7056277056277056,0.7071583514099784,0.4763946455139782
2,1,55,0.6577601098463037,0.722972972972973,0.5071090047393365,0.596100278551532,0.33113460421541996
3,1,60,0.6396803085184986,0.6579710144927536,0.6504297994269341,0.654178674351585,0.2792247889555318
4,2,55,0.6523612045507035,0.5831062670299727,0.7456445993031359,0.6544342507645259,0.3072001448271607
5,2,60,0.5860828025477707,0.5882352941176471,0.3821656050955414,0.46332046332046334,0.18916511171578618
6,3,55,0.604993469305737,0.592156862745098,0.5613382899628253,0.5763358778625954,0.21074794107889247
7,3,60,0.6011844845539743,0.6123076923076923,0.5784883720930233,0.5949177877428999,0.20253600188744633
8,4,55,0.6951747309276589,0.7377892030848329,0.7572559366754618,0.7473958333333333,0.3924220392057584
9,4,60,0.6201216797744472,0.6122448979591837,0.43478260869565216,0.5084745762711865,0.2597313394561169
