,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.6758740242484638,0.685,0.6342592592592593,0.6586538461538463,0.3530994616620272
1,0,60,0.7143719806763285,0.7039106145251397,0.6847826086956522,0.6942148760330578,0.42953410701662376
2,1,55,0.6576805385556916,0.7253521126760564,0.5421052631578948,0.6204819277108434,0.322547441681686
3,1,60,0.6068650126156434,0.668,0.7198275862068966,0.6929460580912864,0.21821521142694147
4,2,55,0.6243706120133324,0.6,0.7656903765690377,0.6727941176470589,0.25943486437692603
5,2,60,0.5962788951721298,0.6294117647058823,0.39776951672862454,0.48747152619589973,0.21062937734194512
6,3,55,0.5934564843941725,0.6237623762376238,0.5650224215246636,0.5929411764705882,0.18686919891966727
7,3,60,0.6181751748616766,0.6458333333333334,0.6019417475728155,0.6231155778894473,0.23609170000183713
8,4,55,0.7220394736842105,0.7407407407407407,0.8125,0.7749627421758569,0.4534226563187573
9,4,60,0.6993095433415368,0.6587301587301587,0.6014492753623188,0.6287878787878789,0.40584133853879945
