,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.6335677034829577,0.5888888888888889,0.673728813559322,0.6284584980237156,0.2669241983233365
1,0,60,0.6246293660677222,0.6264367816091954,0.47186147186147187,0.5382716049382715,0.262700234030617
2,1,55,0.6205430305177836,0.6436781609195402,0.5308056872037915,0.5818181818181819,0.24513692317920016
3,1,60,0.6146942747472564,0.6530612244897959,0.5501432664756447,0.5972006220839813,0.2307649932484271
4,2,55,0.5842211489220697,0.5423728813559322,0.5574912891986062,0.549828178694158,0.1680915902840418
5,2,60,0.558391719745223,0.5123674911660777,0.46178343949044587,0.48576214405360135,0.11850706129554145
6,3,55,0.5553099567969456,0.5492957746478874,0.4349442379182156,0.4854771784232365,0.11399719807100685
7,3,60,0.5557445331482125,0.5552699228791774,0.627906976744186,0.5893587994542975,0.11268344177998185
8,4,55,0.6329416677739603,0.6813725490196079,0.7335092348284961,0.7064803049555273,0.27077175901549877
9,4,60,0.5802707292542579,0.507177033492823,0.5120772946859904,0.5096153846153847,0.16031957376660394
