,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.6023189669490119,0.5836734693877551,0.6620370370370371,0.6203904555314533,0.20600679347327128
1,0,60,0.6165458937198067,0.6507936507936508,0.44565217391304346,0.5290322580645161,0.24895041061396225
2,1,55,0.6324969400244798,0.6707317073170732,0.5789473684210527,0.6214689265536724,0.26584123688885886
3,1,60,0.5428931875525652,0.6268656716417911,0.5431034482758621,0.5819861431870671,0.08452183150583517
4,2,55,0.5727342032479965,0.5782608695652174,0.5564853556485355,0.5671641791044776,0.1455380907278216
5,2,60,0.5490294612692684,0.5327102803738317,0.42379182156133827,0.47204968944099374,0.10124446102415108
6,3,55,0.5374026727349798,0.5706214689265536,0.452914798206278,0.505,0.0757439558985454
7,3,60,0.5540592267808052,0.5722713864306784,0.627831715210356,0.5987654320987653,0.10926514438713254
8,4,55,0.6489182692307692,0.680672268907563,0.759375,0.7178729689807976,0.3058142273161261
9,4,60,0.6443122778233524,0.5432098765432098,0.6376811594202898,0.5866666666666667,0.2828813520438328
